3D_Volumetric_TERLS_DWRproduct_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'INSAT-3DR', 'parameter': 'Rainfall', 'region': 'India'}
INSAT-3D_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'INSAT-3D', 'parameter': 'Rainfall', 'region': 'India'}
INSAT-3D_Objectives_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'INSAT-3D', 'parameter': 'Rainfall', 'region': 'India'}
INSAT-3D_Payloads_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'INSAT-3D', 'parameter': 'Rainfall', 'region': 'India'}
INSAT-3D_References_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'INSAT-3D', 'parameter': 'Rainfall', 'region': 'India'}
INSAT-3D_SpaceCraft_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'INSAT-3D', 'parameter': 'Rainfall', 'region': 'India'}
Insitu_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'INSAT-3DR', 'parameter': 'Rainfall', 'region': 'India'}
KALPANA-1_Introduction_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Kalpana-1', 'parameter': 'Rainfall', 'region': 'India'}
KALPANA-1_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Kalpana-1', 'parameter': 'Rainfall', 'region': 'India'}
KALPANA-1_Objectives_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Kalpana-1', 'parameter': 'Rainfall', 'region': 'India'}
KALPANA-1_Payloads_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Kalpana-1', 'parameter': 'Rainfall', 'region': 'India'}
KALPANA-1_SpaceCraft_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Kalpana-1', 'parameter': 'Rainfall', 'region': 'India'}
Megha_Tropiques_Introduction_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Megha-Tropiques', 'parameter': 'Rainfall', 'region': 'India'}
Megha_Tropiques_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Megha-Tropiques', 'parameter': 'Rainfall', 'region': 'India'}
Megha_Tropiques_Objectives_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Megha-Tropiques', 'parameter': 'Rainfall', 'region': 'India'}
Megha_Tropiques_Payloads_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Megha-Tropiques', 'parameter': 'Rainfall', 'region': 'India'}
Megha_Tropiques_References_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Megha-Tropiques', 'parameter': 'Rainfall', 'region': 'India'}
Megha_Tropiques_SpaceCraft_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Megha-Tropiques', 'parameter': 'Rainfall', 'region': 'India'}
Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'INSAT-3DR', 'parameter': 'Rainfall', 'region': 'India'}
METEOSAT8_Cloud_Properties_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'INSAT-3DR', 'parameter': 'Cloud', 'region': 'India'}
MOSDAC_Feedback_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'INSAT-3DR', 'parameter': 'Rainfall', 'region': 'India'}
Oceanic_Eddies_Detection_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'INSAT-3DR', 'parameter': 'Ocean', 'region': 'India'}
OCEANSAT-2_Introduction_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Oceansat-2', 'parameter': 'Ocean', 'region': 'India'}
Oceansat-2_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Oceansat-2', 'parameter': 'Ocean', 'region': 'India'}
Oceansat-2_Objectives_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Oceansat-2', 'parameter': 'Ocean', 'region': 'India'}
Oceansat-2_Payloads_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Oceansat-2', 'parameter': 'Ocean', 'region': 'India'}
Oceansat-2_References_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Oceansat-2', 'parameter': 'Ocean', 'region': 'India'}
Oceansat-2_SpaceCraft_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Oceansat-2', 'parameter': 'Ocean', 'region': 'India'}
Oceansat-3_Introduction_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Oceansat-3', 'parameter': 'Ocean', 'region': 'India'}
OCEANSAT-3_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Oceansat-3', 'parameter': 'Ocean', 'region': 'India'}
OCEANSAT-3_Objectives_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Oceansat-3', 'parameter': 'Ocean', 'region': 'India'}
OCEANSAT-3_Payloads_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Oceansat-3', 'parameter': 'Ocean', 'region': 'India'}
OCEANSAT-3_References_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'INSAT-3DR', 'parameter': 'Ocean', 'region': 'India'}
OCEANSAT-3_SpaceCraft_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Oceansat-3', 'parameter': 'Ocean', 'region': 'India'}
Ocean_Subsurface_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'INSAT-3DR', 'parameter': 'Ocean', 'region': 'India'}
Privacy_Policy_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'INSAT-3DR', 'parameter': 'Rainfall', 'region': 'India'}
Radar_Catalog.json: ALL NULL
Relative_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'INSAT-3DR', 'parameter': 'Rainfall', 'region': 'India'}
River_Discharge_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'INSAT-3DR', 'parameter': 'Rainfall', 'region': 'India'}
RSS_Feed_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'INSAT-3DR', 'parameter': 'Rainfall', 'region': 'India'}
SARAL-AltiKa_Introduction_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'SARAL', 'parameter': 'Rainfall', 'region': 'India'}
SARAL-AltiKa_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'SARAL', 'parameter': 'Rainfall', 'region': 'India'}
SARAL-AltiKa_Objectives_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'SARAL', 'parameter': 'Rainfall', 'region': 'India'}
SARAL-AltiKa_Payloads_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'SARAL', 'parameter': 'Rainfall', 'region': 'India'}
SARAL-AltiKa_SpaceCraft_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'SARAL', 'parameter': 'Rainfall', 'region': 'India'}
SARAL_References_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'SARAL', 'parameter': 'Rainfall', 'region': 'India'}
Satellite_Catalog.json: FOUND -> {'satellite': 'Scatsat-1', 'parameter': None, 'region': None}
SCATSAT-1_Introduction_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Scatsat-1', 'parameter': 'Rainfall', 'region': 'India'}
SCATSAT-1_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Scatsat-1', 'parameter': 'Rainfall', 'region': 'India'}
SCATSAT-1_Objectives_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Scatsat-1', 'parameter': 'Rainfall', 'region': 'India'}
SCATSAT-1_Payloads_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Scatsat-1', 'parameter': 'Rainfall', 'region': 'India'}
SCATSAT-1_References_Meteorological_and_Oceanographic_Satellite_Data_Archival_Centre.json: FOUND -> {'satellite': 'Scatsat-1', 'parameter': 'Rainfall', 'region': 'India'}
